_CLASSIFIER,species
COLL,COLL
HH,HH
LB,LB
LL,LL
PH,PH
SH,SH
SL,SL
UD,UD
_CLASSIFIER,origin
NN,NN
NY,NY
ONO,ONO
OY,OY
PY,PY
_CLASSIFIER,si_class
SI0,SI0
SI100,SI100
SI40,SI40
SI45,SI45
SI50,SI50
SI55,SI55
SI60,SI60
SI65,SI65
SI70,SI70
SI75,SI75
SI80,SI80
SI85,SI85
SI90,SI90
SI95,SI95
_CLASSIFIER,growth_period
current,current
_CLASSIFIER,mgmt_trajectory
T1-0-T2-0-F1-0-F2-0,T1-0-T2-0-F1-0-F2-0
T1-10-T2-0-F1-10-F2-0,T1-10-T2-0-F1-10-F2-0
T1-12-T2-0-F1-0-F2-0,T1-12-T2-0-F1-0-F2-0
T1-13-T2-0-F1-0-F2-0,T1-13-T2-0-F1-0-F2-0
T1-14-T2-0-F1-0-F2-0,T1-14-T2-0-F1-0-F2-0
T1-14-T2-0-F1-17-F2-0,T1-14-T2-0-F1-17-F2-0
T1-15-T2-0-F1-0-F2-0,T1-15-T2-0-F1-0-F2-0
T1-16-T2-0-F1-0-F2-0,T1-16-T2-0-F1-0-F2-0
T1-17-T2-0-F1-0-F2-0,T1-17-T2-0-F1-0-F2-0
T1-18-T2-0-F1-0-F2-0,T1-18-T2-0-F1-0-F2-0
T1-19-T2-0-F1-0-F2-0,T1-19-T2-0-F1-0-F2-0
T1-20-T2-0-F1-0-F2-0,T1-20-T2-0-F1-0-F2-0
T1-21-T2-0-F1-0-F2-0,T1-21-T2-0-F1-0-F2-0
T1-24-T2-0-F1-0-F2-0,T1-24-T2-0-F1-0-F2-0
T1-31-T2-0-F1-0-F2-0,T1-31-T2-0-F1-0-F2-0
T1-32-T2-0-F1-0-F2-0,T1-32-T2-0-F1-0-F2-0
