timestep,stand_key,disturbance_type,pct_volume_removed,year,age,area
7,BH1427-1-1,Clearcut,97.0,2032,24,209.62
8,BH1427-1-1,Site_Prep,0.0,2033,1,209.62
23,BH1427-1-1,1st_Thin,43.1,2048,14,209.62
30,BH1427-1-1,2nd_Thin,49.08,2055,21,209.62
38,BH1427-1-1,Clearcut,97.0,2063,29,209.62
39,BH1427-1-1,Site_Prep,0.0,2064,1,209.62
7,BH1427-1-3,Clearcut,97.0,2032,24,9.51
8,BH1427-1-3,Site_Prep,0.0,2033,1,9.51
23,BH1427-1-3,1st_Thin,43.1,2048,14,9.51
29,BH1427-1-3,2nd_Thin,46.38,2054,20,9.51
38,BH1427-1-3,Clearcut,97.0,2063,29,9.51
39,BH1427-1-3,Site_Prep,0.0,2064,1,9.51
4,BH1427-1-337,2nd_Thin,26.88,2029,21,82.28
12,BH1427-1-337,Clearcut,97.0,2037,29,82.28
13,BH1427-1-337,Site_Prep,0.0,2038,1,82.28
28,BH1427-1-337,1st_Thin,43.1,2053,14,82.28
35,BH1427-1-337,2nd_Thin,49.08,2060,21,82.28
43,BH1427-1-337,Clearcut,97.0,2068,29,82.28
44,BH1427-1-337,Site_Prep,0.0,2069,1,82.28
4,BH1429-1-10,1st_Thin,57.14,2029,14,37.87
14,BH1429-1-10,Clearcut,97.0,2039,24,37.87
15,BH1429-1-10,Site_Prep,0.0,2040,1,37.87
30,BH1429-1-10,1st_Thin,43.94,2055,14,37.87
37,BH1429-1-10,2nd_Thin,40.68,2062,21,37.87
45,BH1429-1-10,Clearcut,97.0,2070,29,37.87
46,BH1429-1-10,Site_Prep,0.0,2071,1,37.87
9,BH1429-1-11,1st_Thin,47.12,2034,14,172.42
16,BH1429-1-11,2nd_Thin,32.01,2041,21,172.42
24,BH1429-1-11,Clearcut,97.0,2049,29,172.42
25,BH1429-1-11,Site_Prep,0.0,2050,1,172.42
40,BH1429-1-11,1st_Thin,45.22,2065,14,172.42
50,BH1429-1-11,Clearcut,97.0,2075,24,172.42
1,BH1429-1-16,Site_Prep,0.0,2026,1,4.01
16,BH1429-1-16,1st_Thin,0.0,2041,14,4.01
31,BH1429-1-16,Clearcut,97.0,2056,29,4.01
32,BH1429-1-16,Site_Prep,0.0,2057,1,4.01
47,BH1429-1-16,1st_Thin,34.52,2072,14,4.01
5,BH1429-1-338,17.26% clearcut,17.26,2030,27,25.45
6,BH1429-1-338,Site_Prep,0.0,2031,1,25.45
7,BH1429-1-338,Clearcut,97.0,2032,29,121.97
8,BH1429-1-338,Site_Prep,0.0,2033,1,121.97
21,BH1429-1-338,1st_Thin,43.17,2046,14,25.45
23,BH1429-1-338,1st_Thin,43.17,2048,14,121.97
28,BH1429-1-338,2nd_Thin,43.98,2053,21,25.45
30,BH1429-1-338,2nd_Thin,43.98,2055,21,121.97
36,BH1429-1-338,17.26% clearcut,17.26,2061,29,25.45
37,BH1429-1-338,Site_Prep,0.0,2062,1,25.45
38,BH1429-1-338,Clearcut,97.0,2063,29,121.97
39,BH1429-1-338,Site_Prep,0.0,2064,1,121.97
1,BH1429-1-365,Site_Prep,0.0,2026,1,18.65
16,BH1429-1-365,1st_Thin,0.0,2041,14,18.65
31,BH1429-1-365,Clearcut,97.0,2056,29,18.65
32,BH1429-1-365,Site_Prep,0.0,2057,1,18.65
47,BH1429-1-365,1st_Thin,37.62,2072,14,18.65
1,BH1429-1-41,Site_Prep,0.0,2026,1,11.92
16,BH1429-1-41,1st_Thin,0.0,2041,14,11.92
31,BH1429-1-41,Clearcut,97.0,2056,29,11.92
32,BH1429-1-41,Site_Prep,0.0,2057,1,11.92
47,BH1429-1-41,1st_Thin,37.62,2072,14,11.92
10,BH1429-1-42,1st_Thin,45.45,2035,14,70.08
17,BH1429-1-42,2nd_Thin,43.68,2042,21,70.08
24,BH1429-1-42,Clearcut,97.0,2049,28,70.08
25,BH1429-1-42,Site_Prep,0.0,2050,1,70.08
40,BH1429-1-42,1st_Thin,45.22,2065,14,70.08
50,BH1429-1-42,Clearcut,97.0,2075,24,70.08
3,BH1429-1-45,Clearcut,97.0,2028,25,175.55
4,BH1429-1-45,Site_Prep,0.0,2029,1,175.55
19,BH1429-1-45,1st_Thin,43.17,2044,14,175.55
26,BH1429-1-45,2nd_Thin,43.98,2051,21,175.55
34,BH1429-1-45,Clearcut,97.0,2059,29,175.55
35,BH1429-1-45,Site_Prep,0.0,2060,1,175.55
50,BH1429-1-45,1st_Thin,43.17,2075,14,175.55
4,BH1431-1-25,2nd_Thin,49.25,2029,21,63.77
12,BH1431-1-25,Clearcut,97.0,2037,29,63.77
13,BH1431-1-25,Site_Prep,0.0,2038,1,63.77
28,BH1431-1-25,1st_Thin,43.17,2053,14,63.77
35,BH1431-1-25,2nd_Thin,43.98,2060,21,63.77
43,BH1431-1-25,Clearcut,97.0,2068,29,63.77
44,BH1431-1-25,Site_Prep,0.0,2069,1,63.77
4,BH1431-1-26,1st_Thin,48.29,2029,14,17.53
11,BH1431-1-26,2nd_Thin,27.16,2036,21,17.53
19,BH1431-1-26,Clearcut,97.0,2044,29,17.53
20,BH1431-1-26,Site_Prep,0.0,2045,1,17.53
35,BH1431-1-26,1st_Thin,43.94,2060,14,17.53
42,BH1431-1-26,2nd_Thin,40.68,2067,21,17.53
49,BH1431-1-26,Clearcut,97.0,2074,28,17.53
50,BH1431-1-26,Site_Prep,0.0,2075,1,17.53
12,BH1431-1-27,Clearcut,97.0,2037,29,47.01
